고유번호,제조사,모델,세부모델,등급,연식,차량가격,복합연비,배기량,최고출력,최대토크,구동방식,승차정원,휠_1,타이어_수정,변속기,연료,차분류,URL
34,현대,그랜드스타렉스,12인승 왜건 CVX 4WD,모던,2007,2870,11,2497,175,46,4WD,12,17,215,오토,디젤,승합,현대_그랜드스타렉스12인승 왜건 CVX 4WD.jpg
35,현대,그랜드스타렉스,12인승 왜건 CVX 4WD,모던 스페셜,2012,2970,11,2497,175,46,4WD,12,17,215,오토,디젤,승합,현대_그랜드스타렉스12인승 왜건 CVX 4WD.jpg
36,기아,그랜드카니발,GX,고급형,2006,2090,9,2902,197,43,FF,11,16,225,오토,디젤,RV,기아_그랜드카니발GX.jpg
37,기아,그랜드카니발,GX,최고급형,2006,2090,9,2902,197,43,FF,11,16,225,오토,디젤,RV,기아_그랜드카니발GX.jpg
38,기아,그랜드카니발,GX,그랜드 팩,2006,2170,9,2902,197,43,FF,11,16,225,오토,디젤,RV,기아_그랜드카니발GX.jpg
39,기아,그랜드카니발,GLX,기본형,2006,2270,9,2902,170,36,FF,11,16,235,오토,디젤,RV,기아_그랜드카니발GLX.jpg
40,기아,그랜드카니발,GLX,기본형,2008,2355,9,2902,192,36,FF,11,16,235,오토,디젤,RV,기아_그랜드카니발GLX.jpg
41,기아,그랜드카니발,GLX,고급형,2006,2390,9,2902,170,36,FF,11,16,225,오토,LPG,RV,기아_그랜드카니발GLX.jpg
42,기아,그랜드카니발,GLX,고급형,2008,2475,9,2902,192,36,FF,11,16,235,오토,LPG,RV,기아_그랜드카니발GLX.jpg
43,기아,그랜드카니발,GLX,최고급형,2006,2510,9,2902,197,43,FF,11,16,225,오토,디젤,RV,기아_그랜드카니발GLX.jpg
44,기아,그랜드카니발,GLX,월드스페셜,2006,2900,9,2902,170,36,FF,11,16,225,오토,디젤,RV,기아_그랜드카니발GLX.jpg
45,기아,그랜드카니발,GLX 11인승,,2006,3000,9,2199,197,43,FF,11,16,225,오토,디젤,RV,기아_그랜드카니발GLX 11인승.jpg
46,기아,그랜드카니발,GX,기본형,2006,2000,9,2199,170,36,FF,11,16,225,오토,디젤,RV,기아_그랜드카니발GX.jpg
47,현대,그랜저 뉴 럭셔리,Q270,디럭스,2008,2842,11,2656,195,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270.jpg
48,현대,그랜저 뉴 럭셔리,Q270,디럭스,2010,2985,11,2656,195,26,FF,5,16,225,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270.jpg
49,현대,그랜저 뉴 럭셔리,Q270 럭셔리,기본형,2008,2973,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 럭셔리.jpg
50,현대,그랜저 뉴 럭셔리,Q270 럭셔리,기본형,2009,3127,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 럭셔리.jpg
51,현대,그랜저 뉴 럭셔리,Q270 럭셔리,기본형,2010,3182,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 럭셔리.jpg
52,현대,그랜저 뉴 럭셔리,Q270 럭셔리,스마트팩,2008,3179,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 럭셔리.jpg
53,현대,그랜저 뉴 럭셔리,Q270 럭셔리,스마트팩,2009,3362,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 럭셔리.jpg
54,현대,그랜저 뉴 럭셔리,Q270 럭셔리,스마트팩,2010,3387,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 럭셔리.jpg
55,현대,그랜저 뉴 럭셔리,Q270 프리미어,기본형,2008,3201,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 프리미어.jpg
56,현대,그랜저 뉴 럭셔리,Q270 프리미어,기본형,2009,3363,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 프리미어.jpg
57,현대,그랜저 뉴 럭셔리,Q270 프리미어,기본형,2010,3403,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 프리미어.jpg
58,현대,그랜저 뉴 럭셔리,Q270 프리미어,스마트팩,2008,3407,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 프리미어.jpg
59,현대,그랜저 뉴 럭셔리,Q270 프리미어,스마트팩,2009,3598,11,2656,195,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 프리미어.jpg
60,현대,그랜저 뉴 럭셔리,Q270 프리미어,알칸타라팩,2009,3500,10,2656,192,26,FF,5,17,235,오토,가솔린,대형,현대_그랜저 뉴 럭셔리Q270 프리미어.jpg
61,현대,그랜저 하이브리드,프리미엄,,2016,3566,16,2359,159,21,FF,5,17,225,오토,기타,대형,현대_그랜저 하이브리드프리미엄.jpg
62,현대,그랜저HG,HG220 디젤,모던,2015,3156,14,2199,202,45,FF,5,17,225,오토,디젤,대형,현대_그랜저HGHG220 디젤.jpg
63,현대,그랜저HG,HG220 디젤,모던,2016,3215,14,2199,202,45,FF,5,17,225,오토,디젤,대형,현대_그랜저HGHG220 디젤.jpg
64,현대,그랜저HG,HG220 디젤,모던 컬렉션,2016,3365,14,2199,202,45,FF,5,17,225,오토,디젤,대형,현대_그랜저HGHG220 디젤.jpg
65,현대,그랜저HG,HG220 디젤,프리미엄,2015,3389,14,2199,202,45,FF,5,18,245,오토,디젤,대형,현대_그랜저HGHG220 디젤.jpg
66,현대,그랜저HG,HG220 디젤,프리미엄,2016,3452,14,2199,202,45,FF,5,18,245,오토,디젤,대형,현대_그랜저HGHG220 디젤.jpg
67,현대,그랜저HG,HG220 디젤,프리미엄 컬렉션,2016,3675,14,2199,202,45,FF,5,18,245,오토,디젤,대형,현대_그랜저HGHG220 디젤.jpg
68,현대,그랜저HG,HG240,럭셔리,2011,2994,11,2359,201,26,FF,5,17,245,오토,가솔린,대형,현대_그랜저HGHG240.jpg
69,현대,그랜저HG,HG240,모던,2013,2976,11,2359,201,26,FF,5,17,245,오토,가솔린,대형,현대_그랜저HGHG240.jpg
70,현대,그랜저HG,HG240,모던,2015,2988,11,2359,190,26,FF,5,17,245,오토,가솔린,대형,현대_그랜저HGHG240.jpg
71,현대,그랜저HG,HG240,모던,2016,2988,11,2359,190,26,FF,5,17,245,오토,가솔린,대형,현대_그랜저HGHG240.jpg
72,현대,그랜저HG,HG240,모던 컬렉션,2015,3033,11,2359,190,26,FF,5,17,245,오토,가솔린,대형,현대_그랜저HGHG240.jpg
73,현대,그랜저HG,HG240,모던 컬렉션,2016,3090,11,2359,190,26,FF,5,17,245,오토,가솔린,대형,현대_그랜저HGHG240.jpg
74,현대,그랜저HG,HG240,스페셜,2011,3875,11,2359,201,26,FF,5,18,225,오토,가솔린,대형,현대_그랜저HGHG240.jpg
75,현대,그랜저HG,HG300,프라임,2011,3292,10,2999,270,32,FF,5,18,225,오토,가솔린,대형,현대_그랜저HGHG300.jpg
76,현대,그랜저HG,HG300,노블,2011,3527,10,2999,270,32,FF,5,18,225,오토,가솔린,대형,현대_그랜저HGHG300.jpg
77,현대,그랜저HG,HG300,로얄,2011,3901,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
78,현대,그랜저HG,HG300,프리미엄,2013,3273,11,2999,270,32,FF,5,18,225,오토,가솔린,대형,현대_그랜저HGHG300.jpg
79,현대,그랜저HG,HG300,프리미엄,2015,3361,10,2999,270,32,FF,5,18,225,오토,가솔린,대형,현대_그랜저HGHG300.jpg
80,현대,그랜저HG,HG300,프리미엄,2016,3320,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
81,현대,그랜저HG,HG300,프리미엄 컬렉션,2016,3480,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
82,현대,그랜저HG,HG300,익스클루시브,2015,3595,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
83,현대,그랜저HG,HG300,익스클루시브,2016,3628,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
84,현대,그랜저HG,HG300,익스클루시브 스페셜,2015,3875,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
85,현대,그랜저HG,HG300,익스클루시브 컬렉션,2016,3920,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
86,현대,그랜저HG,HG300,더 타임리스,2016,3749,10,2999,270,32,FF,5,18,245,오토,가솔린,대형,현대_그랜저HGHG300.jpg
87,현대,그랜저HG,HG330,셀러브리티,2011,4450,10,3342,294,35,FF,5,19,245,오토,가솔린,대형,현대_그랜저HGHG330.jpg
88,현대,그랜저HG,HG330,셀러브리티,2013,4069,10,3342,294,35,FF,5,19,245,오토,가솔린,대형,현대_그랜저HGHG330.jpg
89,현대,그랜저HG,LPG HG300,익스클루시브,2011,2865,10,2999,235,29,FF,5,19,245,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
90,현대,그랜저HG,LPG HG300,택시 개인형,2011,2590,10,2999,235,29,FF,5,18,225,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
91,현대,그랜저HG,LPG HG300,프라임,2011,2590,10,2999,235,29,FF,5,18,225,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
92,현대,그랜저HG,LPG HG300,이그젝큐티브,2011,2865,10,2999,235,29,FF,5,18,225,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
93,현대,그랜저HG,LPG HG300,모던,2011,2590,10,2999,235,29,FF,5,18,225,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
94,현대,그랜저HG,LPG HG300,프리미엄,2011,2700,10,2999,235,29,FF,5,18,225,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
95,현대,그랜저HG,LPG HG300,익스클루시브,2011,2865,10,2999,235,29,FF,5,18,225,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
96,현대,그랜저HG,LPG HG300,택시 모범형,2011,2715,8,2999,235,29,FF,5,17,225,오토,LPG,대형,현대_그랜저HGLPG HG300.jpg
97,현대,그랜저IG,디젤 2.2 프리미엄,기본형,2017,3475,15,2199,202,45,FF,5,17,225,오토,디젤,대형,현대_그랜저IG디젤 2.2 프리미엄.jpg
